episode,length,total_reward,avg_q,exploration
170,85,-41.70672317659431,25.031936645507812,0.42832113176576714
171,447,-124.85188383706839,26.302997589111328,0.4261901808614599
172,727,-67.84248138617832,27.294513702392578,0.4240698317029452
173,741,-92.57400119756299,28.761783599853516,0.42196003154521916
174,524,-21.022117947550342,28.865997314453125,0.41986072790569073
175,1403,-153.70850760487917,30.237518310546875,0.4177718685628764
176,116,19.362928713931552,29.464262008666992,0.4156934015551009
177,1312,-211.80062186065462,31.4089298248291,0.41362527517920494
178,373,-62.41917108388306,30.096960067749023,0.4115674379892587
179,411,-36.91324727942578,32.841705322265625,0.40951983879528236
180,198,-53.86798703154473,31.925262451171875,0.40748242666197254
181,372,-45.33085069166002,31.256744384765625,0.4054551509074354
182,691,118.57235605055122,32.5708122253418,0.4034379611019258
183,448,-115.12244094310822,33.72830581665039,0.4014308070665929
184,249,-50.79631972642093,33.789398193359375,0.39943363887223177
185,363,-238.13386988245944,33.04615020751953,0.3974464068380416
186,685,-180.13637055273603,33.76169967651367,0.3954690615303897
187,115,-102.72466243835454,34.6341552734375,0.3935015537615818
188,182,-10.856679774840416,34.1161003112793,0.3915438345886387
189,340,-118.87140668793779,35.28351974487305,0.3895958553120783
190,472,-56.701321908410264,34.73272705078125,0.3876575674747048
191,202,39.028075934808214,34.49138259887695,0.38572892286040283
192,961,-82.14066064571136,35.646114349365234,0.38380987349293816
193,571,-25.76038560262019,36.36016845703125,0.38190037163476437
194,920,-201.77852194257684,38.81064987182617,0.38000036978583523
195,108,-42.30197185727354,37.8256950378418,0.37810982068242316
196,270,-105.62031032598136,38.47056198120117,0.3762286772959435
197,358,-21.22931532216309,37.699214935302734,0.37435689283178464
198,896,-261.175375090329,37.9671745300293,0.372494420728144
199,336,-50.389216486941784,39.839210510253906,0.37064121465486966
200,119,0.4267836002294274,38.698333740234375,0.3687972285123082
201,1600,-154.00233068112408,39.472408294677734,0.3669624164301574
202,292,-65.72707409067829,39.628021240234375,0.36513673276632586
203,206,40.87482556485162,40.105464935302734,0.3633201321057969
204,2256,75.65396923727205,41.996864318847656,0.36151256925949943
205,1737,-202.6497757937923,39.68794631958008,0.35971399926318354
206,757,-22.493363258215766,40.69269561767578,0.35792437737630206
207,246,-50.23102140636456,39.322052001953125,0.3561436590808976
208,138,-102.29880901711097,40.821266174316406,0.3543718000804952
209,123,33.44762385319862,40.50777053833008,0.35260875629900024
210,4783,-297.05161813384984,46.86825180053711,0.3508544838796023
211,2492,-219.61658338225774,46.34062576293945,0.3491089391836839
212,162,-39.04255272891888,45.62485885620117,0.34737207878973525
213,224,-37.12024864113029,45.78033447265625,0.34564385949227394
214,4637,-32.69254640999836,49.660343170166016,0.3439242383007701
215,579,-298.52067355847214,48.826656341552734,0.3422131724385773
216,4252,-41.844190890605944,52.67095947265625,0.340510619341868
217,43881,-3123.197199934188,69.70926666259766,0.33881653665857514
218,130,-4.045900239083807,69.1943588256836,0.3371308822473385
219,3005,-13.71175881455892,68.33843231201172,0.33545361417645625
220,291,4.135649860018432,69.82769775390625,0.33378469072284206
221,88,9.43937596164794,68.03116607666016,0.3321240703709872
222,747,180.54187635359736,68.0112533569336,0.3304717118119276
223,171,-187.91029001548603,68.81925201416016,0.3288275739422165
224,1232,187.0096323415737,67.06483459472656,0.327191615862902
225,247,-72.9546452482754,67.42302703857422,0.3255637968785095
226,93,-33.10354028498925,65.56145477294922,0.3239440764960294
227,5513,34.390188499628636,66.78789520263672,0.3223324144239099
228,115,-48.97889169161293,66.24646759033203,0.3207287705710547
229,7816,-36.47056795191344,65.9228744506836,0.3191331050458256
230,108,22.645111260666567,66.45114135742188,0.31754537815505035
231,85,5.288966033704455,67.94378662109375,0.3159655504030352
232,3274,118.48469213325104,69.21858978271484,0.3143935824905823
233,117,-99.55417977412164,70.18619537353516,0.31282943531401225
234,126,-35.99864229847367,71.6201400756836,0.31127306996419135
235,176,-26.062895246754294,70.14977264404297,0.30972444772556357
236,9998,-90.30253948731402,80.87654876708984,0.3081835300751877
237,1612,215.49976802228667,82.58861541748047,0.3066502786817788
238,127,25.064723528870246,83.27543640136719,0.30512465540475503
239,138,22.764368691634076,83.27932739257812,0.3036066222932886
240,2156,219.09939475639203,82.9246826171875,0.30209614158536185
241,18517,-383.6659743288176,82.50365447998047,0.30059317570682775
242,2096,190.90750440112242,77.996826171875,0.2990976872704754
243,114,-230.75637333745965,81.19296264648438,0.29760963907509996
244,72,-78.97845328535641,79.61103057861328,0.2961289941045771
245,92,-23.433640114452885,77.1771469116211,0.2946557155269424
246,2783,113.55953865937634,81.00721740722656,0.2931897666934751
247,1450,232.7386584296579,82.80355072021484,0.29173111113778616
248,146,-98.58205211099515,82.70287322998047,0.29027971257491164
249,9362,-27.552921903803252,81.35863494873047,0.28883553490040964
250,22484,-519.1727179025054,75.5516586303711,0.28739854218946237
251,393,285.99678357160127,75.6616439819336,0.2859686986959825
252,95,31.965120231013742,76.52098846435547,0.28454596885172395
253,1251,218.04125140714777,76.41720581054688,0.283130317265397
254,257,-5.94120525395239,74.09652709960938,0.2817217087217881
255,150,-18.137189699817384,74.3236083984375,0.2803201081808837
256,175,-82.13900556916687,73.83294677734375,0.27892548077699875
257,568,185.0589588981041,75.05386352539062,0.2775377918179092
258,171,-122.54182725099983,71.6174087524414,0.2761570067839893
259,1122,-325.78514418385515,74.9743881225586,0.27478309132735257
260,209,-6.8977191817280215,76.72186279296875,0.2734160112709976
261,186,-10.465009925113804,75.18453979492188,0.27205573260795785
262,132,-53.21574752640545,75.04549407958984,0.2707022215004556
263,1108,217.81424309826798,72.80892181396484,0.26935544427906033
264,148,24.906353543655413,71.17029571533203,0.2680153674418511
265,95,-509.2378154871846,76.23479461669922,0.2666819576535832
266,150,-211.93100983685883,76.70784759521484,0.26535518174485895
267,1232,248.1566204773559,77.11595916748047,0.2640350067113025
268,3067,164.1665400991236,79.89933013916016,0.26272139971273883
269,3148,151.41242275735314,80.5445556640625,0.26141432807237697
270,3861,187.10321838206391,82.7205581665039,0.260113759275997
271,393,220.3891759176591,82.65709686279297,0.25881966097114134
272,1305,217.32298383792968,84.68997955322266,0.2575320009663098
