episode,length,total_reward,avg_q,exploration
189,219,-39.0,119.17239379882812,0.3895958553120783
190,225,27.0,125.88080596923828,0.3876575674747048
191,265,167.0,125.12642669677734,0.38572892286040283
192,451,-65.0,116.35903930664062,0.38380987349293816
193,110,54.0,124.92214965820312,0.38190037163476437
194,262,-8.0,131.685791015625,0.38000036978583523
195,221,-119.0,135.35476684570312,0.37810982068242316
196,350,-16.0,122.22391510009766,0.3762286772959435
197,349,21.0,142.4674530029297,0.37435689283178464
198,465,3.0,137.3820037841797,0.372494420728144
199,171,-39.0,130.5357208251953,0.37064121465486966
200,43,15.0,131.3817596435547,0.3687972285123082
201,413,-7.0,130.4038848876953,0.3669624164301574
202,301,49.0,130.50082397460938,0.36513673276632586
203,501,-11.0,130.95343017578125,0.3633201321057969
204,501,-97.0,126.99983978271484,0.36151256925949943
205,495,-55.0,133.93397521972656,0.35971399926318354
206,236,156.0,135.39334106445312,0.35792437737630206
207,240,-86.0,135.95828247070312,0.3561436590808976
208,501,197.0,140.89588928222656,0.3543718000804952
209,501,251.0,141.13816833496094,0.35260875629900024
210,29,-23.0,142.15859985351562,0.3508544838796023
211,386,-196.0,137.2588653564453,0.3491089391836839
212,190,70.0,129.92417907714844,0.34737207878973525
213,501,-39.0,144.80996704101562,0.34564385949227394
214,501,-423.0,152.8631591796875,0.3439242383007701
215,451,249.0,159.82379150390625,0.3422131724385773
216,501,125.0,146.52847290039062,0.340510619341868
217,251,177.0,149.72422790527344,0.33881653665857514
218,501,367.0,148.0200958251953,0.3371308822473385
219,192,110.0,150.83544921875,0.33545361417645625
220,501,-51.0,155.4425506591797,0.33378469072284206
221,334,202.0,154.0009307861328,0.3321240703709872
222,157,107.0,155.24176025390625,0.3304717118119276
223,501,263.0,163.749755859375,0.3288275739422165
224,115,57.0,156.9095001220703,0.327191615862902
225,501,329.0,170.76095581054688,0.3255637968785095
226,360,0.0,167.3391876220703,0.3239440764960294
227,138,56.0,166.41311645507812,0.3223324144239099
228,326,194.0,154.33380126953125,0.3207287705710547
229,223,61.0,156.7731170654297,0.3191331050458256
230,501,301.0,157.6678009033203,0.31754537815505035
231,17,-15.0,157.39303588867188,0.3159655504030352
232,467,337.0,159.88095092773438,0.3143935824905823
233,501,363.0,159.9860382080078,0.31282943531401225
234,501,245.0,161.7766876220703,0.31127306996419135
235,501,411.0,163.30059814453125,0.30972444772556357
236,501,313.0,165.00172424316406,0.3081835300751877
237,501,291.0,169.5985565185547,0.3066502786817788
238,501,349.0,163.376708984375,0.30512465540475503
239,501,341.0,176.5657501220703,0.3036066222932886
240,501,343.0,185.11453247070312,0.30209614158536185
241,501,431.0,183.92347717285156,0.30059317570682775
242,501,299.0,180.4998779296875,0.2990976872704754
243,269,205.0,183.45181274414062,0.29760963907509996
244,501,429.0,183.72593688964844,0.2961289941045771
245,501,365.0,193.01197814941406,0.2946557155269424
246,501,279.0,185.40896606445312,0.2931897666934751
247,501,387.0,174.8745574951172,0.29173111113778616
248,501,233.0,190.75216674804688,0.29027971257491164
249,501,343.0,183.96156311035156,0.28883553490040964
250,501,431.0,187.32839965820312,0.28739854218946237
251,501,377.0,188.6362762451172,0.2859686986959825
252,501,407.0,182.58273315429688,0.28454596885172395
253,501,383.0,197.30445861816406,0.283130317265397
254,501,305.0,179.93028259277344,0.2817217087217881
255,378,234.0,182.16476440429688,0.2803201081808837
256,501,291.0,192.2285919189453,0.27892548077699875
257,501,445.0,173.6360626220703,0.2775377918179092
